Block SCALES
1 10000	# UV scale [GeV]
1 1 1 3 0.000000	# ll(1,1,1,3)
1 1 2 3 0.000000	# ll(1,1,2,3)
1 2 1 2 0.000000	# ll(1,2,1,2)
1 2 1 3 0.000000	# ll(1,2,1,3)
1 2 2 2 0.000000	# ll(1,2,2,2)
1 2 2 3 0.000000	# ll(1,2,2,3)
1 2 3 1 0.000000	# ll(1,2,3,1)
1 2 3 2 0.000000	# ll(1,2,3,2)
1 2 3 3 0.000000	# ll(1,2,3,3)
1 3 1 3 0.000000	# ll(1,3,1,3)
1 3 2 2 0.000000	# ll(1,3,2,2)
1 3 2 3 0.000000	# ll(1,3,2,3)
1 3 3 2 0.000000	# ll(1,3,3,2)
1 3 3 3 0.000000	# ll(1,3,3,3)
2 2 2 3 0.000000	# ll(2,2,2,3)
2 3 2 3 0.000000	# ll(2,3,2,3)
2 3 3 3 0.000000	# ll(2,3,3,3)
Block WCQQ1
1 1 1 1 0.000000	# qq1(1,1,1,1)
1 1 1 2 0.000000	# qq1(1,1,1,2)
1 1 1 3 0.000000	# qq1(1,1,1,3)
1 1 2 2 0.000000	# qq1(1,1,2,2)
1 1 2 3 0.000000	# qq1(1,1,2,3)
1 1 3 3 0.000000	# qq1(1,1,3,3)
1 2 1 2 0.000000	# qq1(1,2,1,2)
1 2 1 3 0.000000	# qq1(1,2,1,3)
1 2 2 1 0.000000	# qq1(1,2,2,1)
1 2 2 2 0.000000	# qq1(1,2,2,2)
1 2 2 3 0.000000	# qq1(1,2,2,3)
1 2 3 1 0.000000	# qq1(1,2,3,1)
1 2 3 2 0.000000	# qq1(1,2,3,2)
1 2 3 3 0.000000	# qq1(1,2,3,3)
1 3 1 3 0.000000	# qq1(1,3,1,3)
1 3 2 2 0.000000	# qq1(1,3,2,2)
1 3 2 3 0.000000	# qq1(1,3,2,3)
1 3 3 1 0.000000	# qq1(1,3,3,1)
1 3 3 2 0.000000	# qq1(1,3,3,2)
1 3 3 3 0.000000	# qq1(1,3,3,3)
2 2 2 2 0.000000	# qq1(2,2,2,2)
2 2 2 3 0.000000	# qq1(2,2,2,3)
2 2 3 3 0.000000	# qq1(2,2,3,3)
2 3 2 3 0.000000	# qq1(2,3,2,3)
2 3 3 2 0.000000	# qq1(2,3,3,2)
2 3 3 3 0.000000	# qq1(2,3,3,3)
3 3 3 3 0.000000	# qq1(3,3,3,3)
Block IMWCQQ1
1 1 1 2 0.000000	# qq1(1,1,1,2)
1 1 1 3 0.000000	# qq1(1,1,1,3)
1 1 2 3 0.000000	# qq1(1,1,2,3)
1 2 1 2 0.000000	# qq1(1,2,1,2)
1 2 1 3 0.000000	# qq1(1,2,1,3)
1 2 2 2 0.000000	# qq1(1,2,2,2)
1 2 2 3 0.000000	# qq1(1,2,2,3)
1 2 3 1 0.000000	# qq1(1,2,3,1)
1 2 3 2 0.000000	# qq1(1,2,3,2)
1 2 3 3 0.000000	# qq1(1,2,3,3)
1 3 1 3 0.000000	# qq1(1,3,1,3)
1 3 2 2 0.000000	# qq1(1,3,2,2)
1 3 2 3 0.000000	# qq1(1,3,2,3)
1 3 3 2 0.000000	# qq1(1,3,3,2)
1 3 3 3 0.000000	# qq1(1,3,3,3)
2 2 2 3 0.000000	# qq1(2,2,2,3)
2 3 2 3 0.000000	# qq1(2,3,2,3)
2 3 3 3 0.000000	# qq1(2,3,3,3)
Block WCQQ3
1 1 1 1 0.000000	# qq3(1,1,1,1)
1 1 1 2 0.000000	# qq3(1,1,1,2)
1 1 1 3 -0.001867	# qq3(1,1,1,3)
1 1 2 2 0.000000	# qq3(1,1,2,2)
1 1 2 3 0.000000	# qq3(1,1,2,3)
1 1 3 3 0.000000	# qq3(1,1,3,3)
1 2 1 2 0.000000	# qq3(1,2,1,2)
1 2 1 3 -2.848914E-6	# qq3(1,2,1,3)
1 2 2 1 0.000000	# qq3(1,2,2,1)
1 2 2 2 0.000000	# qq3(1,2,2,2)
1 2 2 3 0.000000	# qq3(1,2,2,3)
1 2 3 1 -2.848914E-6	# qq3(1,2,3,1)
